main_category,subcategory,product_name,color,fabric,size,price_inr,rating,reviews_count,stock,website,product_link,image_link,video_link
Saree,Banarasi Saree,Yellow Banarasi Saree Model 1,Yellow,Organza,S,74086,4.4,12829,113,Amazon,https://www.amazon.in/product/banarasi-saree-1,https://dummyimage.com/580x198,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Saree,Banarasi Saree,Orange Banarasi Saree Model 2,Orange,Silk,XS,57653,3.6,15444,548,Myntra,https://www.myntra.com/product/banarasi-saree-2,https://placekitten.com/598/315,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Saree,Banarasi Saree,Peach Banarasi Saree Model 3,Peach,Net,Free Size,65623,5.0,10929,687,Flipkart,https://www.flipkart.com/product/banarasi-saree-3,https://www.lorempixel.com/974/158,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Saree,Banarasi Saree,Cream Banarasi Saree Model 4,Cream,Rayon,L,111635,3.7,5569,408,Myntra,https://www.myntra.com/product/banarasi-saree-4,https://placekitten.com/136/843,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Saree,Banarasi Saree,Red Banarasi Saree Model 5,Red,Chiffon,XXL,65897,4.4,11203,398,Myntra,https://www.myntra.com/product/banarasi-saree-5,https://www.lorempixel.com/814/568,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Saree,Banarasi Saree,Purple Banarasi Saree Model 6,Purple,Linen,Free Size,119633,4.2,1407,526,Myntra,https://www.myntra.com/product/banarasi-saree-6,https://dummyimage.com/692x227,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Saree,Banarasi Saree,Sky Blue Banarasi Saree Model 7,Sky Blue,Silk,M,19139,4.1,1689,570,Flipkart,https://www.flipkart.com/product/banarasi-saree-7,https://www.lorempixel.com/598/497,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Saree,Banarasi Saree,Purple Banarasi Saree Model 8,Purple,Net,L,76335,4.7,11213,155,Amazon,https://www.amazon.in/product/banarasi-saree-8,https://placekitten.com/599/650,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Saree,Banarasi Saree,Blue Banarasi Saree Model 9,Blue,Velvet,S,37281,4.1,14372,546,Ajio,https://www.ajio.com/product/banarasi-saree-9,https://placekitten.com/340/826,https://www.youtube.com/watch?v=dQw4w9WgXcQ
Saree,Banarasi Saree,Pink Banarasi Saree Model 10,Pink,Velvet,L,130881,4.3,21875,994,Ajio,https://www.ajio.com/product/banarasi-saree-10,https://placeimg.com/134/741/any,https://www.youtube.com/watch?v=dQw4w9WgXcQ
